conversão
###########################################################################################

109.201270;0.360688
109.232343;0.360783
109.235255;0.360791
109.460825;0.361605
109.923883;0.363202
110.112248;0.363862
110.193054;0.364171
110.343526;0.364727
110.615472;0.365615
110.849272;0.366432
110.954430;0.366817
111.160886;0.367541
111.300813;0.368075
111.715346;0.369510
111.784508;0.369735
112.310317;0.371529
112.526200;0.372396
113.064953;0.374244
113.176398;0.374654
113.302603;0.375109
113.374118;0.375361
113.400521;0.375451
113.430349;0.375556
113.623722;0.376267
113.912652;0.377272
114.197629;0.378290
114.293237;0.378618
114.604496;0.379645
114.827325;0.380401
114.983225;0.380947
115.259197;0.381993
115.596375;0.383226
115.651343;0.383429
115.814497;0.383996
115.992362;0.384563
116.194823;0.385319
116.225387;0.385429
116.488611;0.386400
117.313023;0.389362
117.478934;0.389930
117.487396;0.389965
118.055891;0.392035
118.140816;0.392343
118.738338;0.394380
119.075447;0.395557
119.158566;0.395848
119.421126;0.396750
119.472050;0.396943
119.716951;0.397820
120.071432;0.399129
120.162249;0.399478
120.190391;0.399584
120.307442;0.400045
120.383906;0.400298
120.637967;0.401262
120.898679;0.402234
121.000810;0.402603
121.034516;0.402679
121.081864;0.402839
121.419120;0.404042
121.480260;0.404258
121.593207;0.404652
121.893266;0.405718
122.265033;0.407042
122.360476;0.407319
122.472032;0.407707
122.752190;0.408677
123.612004;0.411849
123.708550;0.412215
124.003737;0.413256
124.070014;0.413484
124.191850;0.413943
124.252086;0.414170
124.314694;0.414388
124.343515;0.414492
124.684155;0.415753
124.759213;0.416054
125.032753;0.417097
125.051725;0.417152
125.076626;0.417232
125.227334;0.417717
125.469802;0.418637
125.759442;0.419759
126.293588;0.421616
126.383534;0.421980
126.480633;0.422309
126.611738;0.422808
126.642303;0.422895
127.432976;0.425784
127.448970;0.425848
127.628954;0.426553
127.724460;0.426903
128.143265;0.428277
128.536177;0.429696
128.698562;0.430292
128.837255;0.430813
128.842123;0.430826
128.844965;0.430836
129.215733;0.432172
129.551080;0.433414
