###########################################################################################
distribuições
###########################################################################################

528;1521;1048;161;2730
529;1468;1075;159;2702
530;1540;1034;141;2715
531;1564;1047;138;2749
532;1512;1054;160;2726
533;1569;1021;149;2739
534;1509;1025;148;2682
535;1516;1041;155;2712
536;1550;1098;148;2796
537;1533;1053;170;2756
538;1537;1035;166;2738
539;1466;1067;151;2684
540;1550;1041;172;2763
541;1516;1098;154;2768
542;1505;1077;146;2728
543;1455;1070;151;2676
544;1570;1057;148;2775
545;1503;1024;151;2678
546;1434;1075;152;2661
547;1560;1034;153;2747
548;1479;1039;132;2650
549;1480;1021;179;2680
550;1522;1100;175;2797
551;1534;1008;143;2685
552;1461;1062;152;2675
553;1601;1061;154;2816
554;1477;1029;142;2648
555;1528;1084;181;2793
556;1510;1041;147;2698
557;1476;1005;144;2625
558;1527;1071;181;2779
559;1452;1054;149;2655
560;1530;1061;165;2756
561;1389;1044;153;2586
562;1426;1048;172;2646
563;1497;1061;163;2721
564;1465;1018;153;2636
565;1508;1012;166;2686
566;1447;1007;165;2619
567;1485;1006;159;2650
568;1441;992;147;2580
569;1502;1051;175;2728
570;1400;1038;178;2616
571;1482;1103;179;2764
572;1453;1035;141;2629
573;1433;984;181;2598
574;1548;992;152;2692
575;1449;1010;159;2618
576;1448;1066;153;2667
577;1511;1027;165;2703
578;1516;1038;148;2702
579;1451;994;160;2605
580;1404;1030;152;2586
581;1480;1006;151;2637
582;1415;998;138;2551
583;1493;1034;137;2664
584;1488;1011;153;2652
585;1477;991;161;2629
586;1464;1058;171;2693
587;1399;994;167;2560
588;1415;975;155;2545
589;1458;1031;161;2650
590;1500;1012;153;2665
591;1427;1066;160;2653
592;1412;995;137;2544
593;1455;1050;161;2666
594;1419;983;158;2560
595;1422;1011;154;2587
596;1450;1044;171;2665
597;1438;975;149;2562
598;1430;1026;168;2624
599;1402;974;131;2507
600;1453;1030;170;2653
601;1399;994;140;2533
602;1478;1050;154;2682
603;1436;1029;143;2608
604;1456;1012;153;2621
605;1465;1039;153;2657
606;1430;988;154;2572
607;1424;1033;150;2607
608;1414;983;151;2548
609;1392;1057;154;2603
610;1493;1001;140;2634
611;1490;1019;127;2636
612;1361;968;160;2489
613;1437;1015;138;2590
614;1348;1018;161;2527
615;1465;991;158;2614
616;1480;974;175;2629
617;1463;1009;146;2618
618;1420;995;147;2562
619;1420;959;151;2530
620;1362;1059;148;2569
621;1415;941;164;2520
622;1337;934;143;2414
623;1433;1015;172;2620
624;1351;1023;161;2535
625;1414;984;136;2534
626;1399;1004;184;2587
627;1389;964;156;2509
628;1343;992;136;2471
629;1348;990;157;2495
630;1319;952;163;2434
631;1356;986;146;2488
632;1323;969;153;2445
633;1382;1003;149;2534
634;1406;996;153;2555
635;1394;958;154;2506
636;1425;957;160;2542
637;1319;958;177;2454
638;1348;982;156;2486
639;1375;958;170;2503
640;1374;985;154;2513
641;1389;1003;157;2549
642;1399;933;154;2486
643;1337;942;165;2444
644;1355;977;184;2516
645;1303;943;149;2395
646;1411;969;161;2541
647;1458;928;169;2555
648;1374;938;161;2473
649;1417;951;167;2535
650;1358;954;157;2469
651;1366;939;136;2441
652;1334;965;180;2479
653;1335;943;175;2453
654;1434;963;169;2566
655;1389;987;170;2546
656;1381;977;167;2525
657;1315;1037;131;2483
658;1319;981;133;2433
659;1398;1006;166;2570
660;1320;965;117;2402
661;1358;930;159;2447
662;1341;974;153;2468
663;1325;956;166;2447
664;1349;975;164;2488
665;1298;977;158;2433
666;1342;1018;168;2528
667;1272;1029;171;2472
668;1289;996;135;2420
669;1327;918;144;2389
670;1423;997;143;2563
671;1346;950;149;2445
672;1409;875;164;2448
673;1366;980;161;2507
674;1380;985;152;2517
675;1369;962;160;2491
676;1345;1019;165;2529
677;1311;996;149;2456
678;1286;968;153;2407
679;1331;939;155;2425
